0.272963,-1.190185,0.860186,-0.051466,0.030797,0.830787,0.553349,-0.080424,-0.095071,0.037753,0.093291,-0.143552,0.054744,-0.035306,0.016425,-0.083964,0.079634,-0.151629,-0.029612,0.069403,0.036023,0.238109,0.141024,0.033324,0.012761,0.501233,0.007314,0.162782,0.008738,0.462288,-0.094169,-0.129951,0.256408,0.000264,0.087467,-0.008374
0.274629,-1.200971,0.858469,-0.031530,0.017100,0.829507,0.557344,-0.076536,-0.094985,0.048407,0.171942,-0.177345,0.068679,-0.032442,0.011126,-0.086471,0.156716,-0.189559,-0.021755,0.041372,0.038558,0.331842,0.079834,0.041205,0.014785,0.623612,0.008943,0.193071,0.012833,0.312761,-0.112714,-0.168810,0.370304,-0.000012,0.121291,-0.009441
0.275943,-1.209686,0.856516,-0.012846,0.004148,0.827993,0.560576,-0.069784,-0.094531,0.056728,0.243494,-0.209040,0.080353,-0.027004,0.006639,-0.089971,0.228040,-0.225065,-0.016529,0.017887,0.039154,0.409065,0.023423,0.048161,0.016934,0.729757,0.010360,0.217296,0.016775,0.185276,-0.126107,-0.201790,0.473613,-0.000280,0.150654,-0.009865
0.276553,-1.214256,0.854088,0.003302,-0.007297,0.826626,0.562694,-0.057306,-0.093340,0.060385,0.300848,-0.236539,0.087506,-0.016419,0.003777,-0.095454,0.287847,-0.255723,-0.016565,0.003492,0.035871,0.453266,-0.023433,0.053265,0.019332,0.803433,0.011356,0.229393,0.020411,0.101875,-0.129198,-0.223011,0.555745,-0.000531,0.171093,-0.009005
0.276960,-1.215901,0.851802,0.013473,-0.014905,0.825258,0.564398,-0.050855,-0.091168,0.061582,0.345565,-0.260402,0.093744,-0.010018,0.003040,-0.101874,0.331105,-0.280023,-0.019074,-0.005928,0.030287,0.468000,-0.053486,0.055458,0.021077,0.866929,0.012079,0.237148,0.023729,0.045313,-0.128033,-0.239977,0.627301,-0.000809,0.186833,-0.007724
0.277265,-1.216083,0.849586,0.020654,-0.020595,0.823938,0.565928,-0.047416,-0.088506,0.061550,0.383963,-0.282446,0.099525,-0.005709,0.003365,-0.108764,0.366090,-0.301144,-0.022821,-0.012861,0.023554,0.468000,-0.075139,0.056195,0.022496,0.925334,0.012665,0.242731,0.026888,0.002170,-0.124739,-0.254816,0.693568,-0.001101,0.200222,-0.006232
0.277309,-1.215770,0.848314,0.025988,-0.024013,0.822887,0.567103,-0.044025,-0.088569,0.060347,0.410278,-0.298389,0.103375,-0.000282,0.001606,-0.115763,0.387864,-0.319936,-0.028091,-0.016470,0.019192,0.468000,-0.089549,0.057385,0.024349,0.965737,0.013054,0.242290,0.029804,-0.024413,-0.122299,-0.266958,0.742446,-0.001575,0.206852,-0.004604
0.277474,-1.215329,0.847418,0.030340,-0.027572,0.822109,0.567852,-0.039221,-0.087223,0.057743,0.430937,-0.314378,0.107086,0.005329,0.001774,-0.122585,0.406579,-0.338352,-0.033745,-0.019954,0.015851,0.468000,-0.102778,0.058641,0.026270,1.002171,0.013397,0.240716,0.032637,-0.048109,-0.119970,-0.278308,0.786728,-0.002061,0.211887,-0.002929
0.277879,-1.214634,0.847275,0.032731,-0.031414,0.821928,0.567782,-0.031589,-0.083061,0.052337,0.440285,-0.330456,0.110517,0.011308,0.005794,-0.129054,0.419176,-0.356019,-0.040167,-0.023190,0.014552,0.468000,-0.113643,0.060028,0.028324,1.030667,0.013649,0.236877,0.035303,-0.066034,-0.117863,-0.288073,0.821816,-0.002572,0.213734,-0.001161
0.278130,-1.214043,0.847063,0.034793,-0.034341,0.821873,0.567570,-0.025316,-0.080576,0.047408,0.447881,-0.344825,0.113930,0.016858,0.008643,-0.133833,0.428703,-0.371288,-0.046450,-0.026441,0.014052,0.468000,-0.122043,0.060349,0.030230,1.054376,0.013804,0.231908,0.037764,-0.079634,-0.116049,-0.297108,0.851128,-0.003112,0.213653,0.000617
0.278304,-1.213504,0.846817,0.036692,-0.036811,0.821879,0.567286,-0.019722,-0.078931,0.042716,0.454602,-0.358338,0.117334,0.022193,0.010907,-0.137767,0.436695,-0.385358,-0.052662,-0.029699,0.013950,0.468000,-0.129211,0.060135,0.032060,1.075692,0.013910,0.226375,0.040122,-0.091072,-0.114380,-0.305778,0.877551,-0.003668,0.212607,0.002401
